asset,conditioning_asset,quantile_level,threshold_asset,threshold_conditioning_asset,observations,asset_exceedance_count,conditioning_exceedance_count,joint_exceedance_count,tail_dependence,stress_regime,regime_label
GLE.PA,ISP.MI,0.9,0.05287,0.040748,1055,106,106,65,0.613208,1,stress
INGA.AS,ISP.MI,0.9,0.054349,0.040748,1055,106,106,64,0.603774,1,stress
ISP.MI,ISP.MI,0.9,0.040748,0.040748,1055,106,106,106,1.0,1,stress
SAN.MC,ISP.MI,0.9,0.039879,0.040748,1055,106,106,66,0.622642,1,stress
BBVA.MC,SAN.MC,0.9,0.038584,0.039879,1055,106,106,82,0.773585,1,stress
BNP.PA,SAN.MC,0.9,0.04444,0.039879,1055,106,106,66,0.622642,1,stress
CBK.DE,SAN.MC,0.9,0.055257,0.039879,1055,106,106,63,0.59434,1,stress
DBK.DE,SAN.MC,0.9,0.046608,0.039879,1055,106,106,68,0.641509,1,stress
GLE.PA,SAN.MC,0.9,0.05287,0.039879,1055,106,106,67,0.632075,1,stress
INGA.AS,SAN.MC,0.9,0.054349,0.039879,1055,106,106,65,0.613208,1,stress
ISP.MI,SAN.MC,0.9,0.040748,0.039879,1055,106,106,66,0.622642,1,stress
SAN.MC,SAN.MC,0.9,0.039879,0.039879,1055,106,106,106,1.0,1,stress
BBVA.MC,BBVA.MC,0.95,0.027072,0.027072,4221,211,211,211,1.0,0,calm
BNP.PA,BBVA.MC,0.95,0.025651,0.027072,4221,211,211,95,0.450237,0,calm
CBK.DE,BBVA.MC,0.95,0.035314,0.027072,4221,211,211,71,0.336493,0,calm
DBK.DE,BBVA.MC,0.95,0.030175,0.027072,4221,211,211,82,0.388626,0,calm
GLE.PA,BBVA.MC,0.95,0.029165,0.027072,4221,211,211,89,0.421801,0,calm
INGA.AS,BBVA.MC,0.95,0.026319,0.027072,4221,211,211,83,0.393365,0,calm
ISP.MI,BBVA.MC,0.95,0.028029,0.027072,4221,211,211,104,0.492891,0,calm
SAN.MC,BBVA.MC,0.95,0.027049,0.027072,4221,211,211,129,0.611374,0,calm
BBVA.MC,BNP.PA,0.95,0.027072,0.025651,4221,211,211,95,0.450237,0,calm
BNP.PA,BNP.PA,0.95,0.025651,0.025651,4221,211,211,211,1.0,0,calm
CBK.DE,BNP.PA,0.95,0.035314,0.025651,4221,211,211,77,0.364929,0,calm
DBK.DE,BNP.PA,0.95,0.030175,0.025651,4221,211,211,99,0.469194,0,calm
GLE.PA,BNP.PA,0.95,0.029165,0.025651,4221,211,211,137,0.649289,0,calm
INGA.AS,BNP.PA,0.95,0.026319,0.025651,4221,211,211,109,0.516588,0,calm
ISP.MI,BNP.PA,0.95,0.028029,0.025651,4221,211,211,101,0.478673,0,calm
SAN.MC,BNP.PA,0.95,0.027049,0.025651,4221,211,211,100,0.473934,0,calm
BBVA.MC,CBK.DE,0.95,0.027072,0.035314,4221,211,211,71,0.336493,0,calm
BNP.PA,CBK.DE,0.95,0.025651,0.035314,4221,211,211,77,0.364929,0,calm
CBK.DE,CBK.DE,0.95,0.035314,0.035314,4221,211,211,211,1.0,0,calm
DBK.DE,CBK.DE,0.95,0.030175,0.035314,4221,211,211,81,0.383886,0,calm
GLE.PA,CBK.DE,0.95,0.029165,0.035314,4221,211,211,78,0.369668,0,calm
INGA.AS,CBK.DE,0.95,0.026319,0.035314,4221,211,211,77,0.364929,0,calm
ISP.MI,CBK.DE,0.95,0.028029,0.035314,4221,211,211,71,0.336493,0,calm
SAN.MC,CBK.DE,0.95,0.027049,0.035314,4221,211,211,72,0.341232,0,calm
BBVA.MC,DBK.DE,0.95,0.027072,0.030175,4221,211,211,82,0.388626,0,calm
BNP.PA,DBK.DE,0.95,0.025651,0.030175,4221,211,211,99,0.469194,0,calm
CBK.DE,DBK.DE,0.95,0.035314,0.030175,4221,211,211,81,0.383886,0,calm
DBK.DE,DBK.DE,0.95,0.030175,0.030175,4221,211,211,211,1.0,0,calm
GLE.PA,DBK.DE,0.95,0.029165,0.030175,4221,211,211,95,0.450237,0,calm
INGA.AS,DBK.DE,0.95,0.026319,0.030175,4221,211,211,88,0.417062,0,calm
ISP.MI,DBK.DE,0.95,0.028029,0.030175,4221,211,211,85,0.402844,0,calm
SAN.MC,DBK.DE,0.95,0.027049,0.030175,4221,211,211,91,0.43128,0,calm
BBVA.MC,GLE.PA,0.95,0.027072,0.029165,4221,211,211,89,0.421801,0,calm
BNP.PA,GLE.PA,0.95,0.025651,0.029165,4221,211,211,137,0.649289,0,calm
CBK.DE,GLE.PA,0.95,0.035314,0.029165,4221,211,211,78,0.369668,0,calm
DBK.DE,GLE.PA,0.95,0.030175,0.029165,4221,211,211,95,0.450237,0,calm
GLE.PA,GLE.PA,0.95,0.029165,0.029165,4221,211,211,211,1.0,0,calm
INGA.AS,GLE.PA,0.95,0.026319,0.029165,4221,211,211,102,0.483412,0,calm
ISP.MI,GLE.PA,0.95,0.028029,0.029165,4221,211,211,91,0.43128,0,calm
SAN.MC,GLE.PA,0.95,0.027049,0.029165,4221,211,211,93,0.440758,0,calm
BBVA.MC,INGA.AS,0.95,0.027072,0.026319,4221,211,211,83,0.393365,0,calm
BNP.PA,INGA.AS,0.95,0.025651,0.026319,4221,211,211,109,0.516588,0,calm
CBK.DE,INGA.AS,0.95,0.035314,0.026319,4221,211,211,77,0.364929,0,calm
DBK.DE,INGA.AS,0.95,0.030175,0.026319,4221,211,211,88,0.417062,0,calm
GLE.PA,INGA.AS,0.95,0.029165,0.026319,4221,211,211,102,0.483412,0,calm
INGA.AS,INGA.AS,0.95,0.026319,0.026319,4221,211,211,211,1.0,0,calm
ISP.MI,INGA.AS,0.95,0.028029,0.026319,4221,211,211,92,0.436019,0,calm
SAN.MC,INGA.AS,0.95,0.027049,0.026319,4221,211,211,98,0.464455,0,calm
