,asset,date,type,return,loss
54,CBK.DE,2016-02-12,largest_positive_return,0.165716,-0.165716
53,CBK.DE,2009-01-28,largest_positive_return,0.167054,-0.167054
52,CBK.DE,2009-07-01,largest_positive_return,0.17078,-0.17078
51,CBK.DE,2008-09-19,largest_positive_return,0.1827,-0.1827
50,CBK.DE,2008-10-30,largest_positive_return,0.20482,-0.20482
60,DBK.DE,2020-03-12,largest_negative_return,-0.203783,0.203783
61,DBK.DE,2008-10-10,largest_negative_return,-0.175358,0.175358
62,DBK.DE,2008-10-27,largest_negative_return,-0.163725,0.163725
63,DBK.DE,2016-06-24,largest_negative_return,-0.152386,0.152386
64,DBK.DE,2020-03-09,largest_negative_return,-0.146262,0.146262
65,DBK.DE,2008-10-28,largest_negative_return,-0.143086,0.143086
66,DBK.DE,2008-11-06,largest_negative_return,-0.137193,0.137193
67,DBK.DE,2022-02-24,largest_negative_return,-0.133953,0.133953
68,DBK.DE,2008-10-15,largest_negative_return,-0.133273,0.133273
69,DBK.DE,2022-06-23,largest_negative_return,-0.13003,0.13003
79,DBK.DE,2020-02-06,largest_positive_return,0.121326,-0.121326
78,DBK.DE,2009-02-26,largest_positive_return,0.133923,-0.133923
77,DBK.DE,2008-09-19,largest_positive_return,0.134178,-0.134178
76,DBK.DE,2009-04-02,largest_positive_return,0.136603,-0.136603
75,DBK.DE,2011-10-27,largest_positive_return,0.142831,-0.142831
74,DBK.DE,2008-11-04,largest_positive_return,0.14324,-0.14324
73,DBK.DE,2009-03-10,largest_positive_return,0.152374,-0.152374
72,DBK.DE,2008-10-30,largest_positive_return,0.163325,-0.163325
71,DBK.DE,2009-01-28,largest_positive_return,0.198616,-0.198616
70,DBK.DE,2008-11-24,largest_positive_return,0.212448,-0.212448
80,GLE.PA,2016-06-24,largest_negative_return,-0.23034,0.23034
81,GLE.PA,2020-03-09,largest_negative_return,-0.194243,0.194243
82,GLE.PA,2020-03-12,largest_negative_return,-0.18803,0.18803
83,GLE.PA,2011-11-01,largest_negative_return,-0.177122,0.177122
84,GLE.PA,2008-10-27,largest_negative_return,-0.169076,0.169076
85,GLE.PA,2020-03-16,largest_negative_return,-0.166355,0.166355
86,GLE.PA,2011-08-10,largest_negative_return,-0.159482,0.159482
87,GLE.PA,2008-11-21,largest_negative_return,-0.148946,0.148946
88,GLE.PA,2009-01-20,largest_negative_return,-0.146935,0.146935
89,GLE.PA,2008-10-10,largest_negative_return,-0.139762,0.139762
99,GLE.PA,2020-03-24,largest_positive_return,0.119153,-0.119153
98,GLE.PA,2009-01-28,largest_positive_return,0.121534,-0.121534
97,GLE.PA,2012-01-19,largest_positive_return,0.123522,-0.123522
96,GLE.PA,2025-02-06,largest_positive_return,0.123791,-0.123791
95,GLE.PA,2010-05-10,largest_positive_return,0.130861,-0.130861
94,GLE.PA,2008-12-08,largest_positive_return,0.133531,-0.133531
93,GLE.PA,2011-09-27,largest_positive_return,0.155371,-0.155371
92,GLE.PA,2020-11-09,largest_positive_return,0.168981,-0.168981
91,GLE.PA,2008-09-19,largest_positive_return,0.181844,-0.181844
90,GLE.PA,2011-10-27,largest_positive_return,0.203283,-0.203283
100,INGA.AS,2008-10-17,largest_negative_return,-0.321362,0.321362
101,INGA.AS,2020-03-12,largest_negative_return,-0.215324,0.215324
102,INGA.AS,2009-03-05,largest_negative_return,-0.201886,0.201886
103,INGA.AS,2008-09-29,largest_negative_return,-0.200797,0.200797
104,INGA.AS,2009-10-26,largest_negative_return,-0.198472,0.198472
105,INGA.AS,2008-10-16,largest_negative_return,-0.165037,0.165037
106,INGA.AS,2016-06-24,largest_negative_return,-0.161849,0.161849
107,INGA.AS,2011-11-01,largest_negative_return,-0.155776,0.155776
108,INGA.AS,2020-03-09,largest_negative_return,-0.153709,0.153709
109,INGA.AS,2008-10-06,largest_negative_return,-0.150823,0.150823
119,INGA.AS,2009-04-09,largest_positive_return,0.163698,-0.163698
118,INGA.AS,2008-11-24,largest_positive_return,0.164814,-0.164814
117,INGA.AS,2008-11-04,largest_positive_return,0.178261,-0.178261
116,INGA.AS,2009-02-26,largest_positive_return,0.182806,-0.182806
115,INGA.AS,2020-03-24,largest_positive_return,0.186449,-0.186449
